,0,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,TotalSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
10,,1040.0,0.0,0.0,3.0,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,0.0,CBlock,1.0,Typ,384.0,1.0,TA,Unf,TA,Detchd,1965.0,1040.0,0.0,GasA,Ex,1Story,1.0,TA,Lvl,Gtl,11200.0,Inside,Reg,0.0,20,RL,0.0,None,0.0,2,Sawyer,0.0,5,5.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,5.0,1040.0,2080.0,AllPub,0.0,1965.0,1965.0,2008
11,,1182.0,1142.0,0.0,4.0,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,Norm,SBrkr,0.0,TA,Ex,WdShing,Wd Shng,2.0,PConc,3.0,Typ,736.0,3.0,TA,Fin,TA,BuiltIn,2005.0,2324.0,0.0,GasA,Ex,2Story,1.0,Ex,Lvl,Gtl,11924.0,Inside,IR1,0.0,60,RL,286.0,Stone,0.0,7,NridgHt,21.0,5,9.0,Y,0.0,CompShg,Hip,Partial,New,0.0,Pave,11.0,1175.0,3499.0,AllPub,147.0,2005.0,2006.0,2006
12,,912.0,0.0,0.0,2.0,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,Plywood,0.0,CBlock,1.0,Typ,352.0,1.0,TA,Unf,TA,Detchd,1962.0,912.0,0.0,GasA,TA,1Story,1.0,TA,Lvl,Gtl,12968.0,Inside,IR2,0.0,20,RL,0.0,None,0.0,9,Sawyer,0.0,6,5.0,Y,0.0,CompShg,Hip,Normal,WD,176.0,Pave,4.0,912.0,1824.0,AllPub,140.0,1962.0,1962.0,2008
13,,1494.0,0.0,0.0,3.0,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,2.0,Typ,840.0,3.0,TA,RFn,TA,Attchd,2006.0,1494.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,10652.0,Inside,IR1,0.0,20,RL,306.0,Stone,0.0,8,CollgCr,33.0,5,7.0,Y,0.0,CompShg,Gable,Partial,New,0.0,Pave,7.0,1494.0,2988.0,AllPub,160.0,2006.0,2007.0,2007
14,,1253.0,0.0,0.0,2.0,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,Norm,SBrkr,176.0,TA,TA,MetalSd,MetalSd,1.0,CBlock,1.0,Typ,352.0,1.0,TA,RFn,TA,Attchd,1960.0,1253.0,1.0,GasA,TA,1Story,1.0,TA,Lvl,Gtl,10920.0,Corner,IR1,0.0,20,RL,212.0,BrkFace,0.0,5,NAmes,213.0,5,6.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,5.0,1253.0,2506.0,AllPub,0.0,1960.0,1960.0,2008
15,,854.0,0.0,0.0,2.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,Norm,FuseA,0.0,TA,TA,Wd Sdng,Wd Sdng,0.0,BrkTil,1.0,Typ,576.0,2.0,TA,Unf,TA,Detchd,1991.0,854.0,0.0,GasA,Ex,1.5Unf,1.0,TA,Lvl,Gtl,6120.0,Corner,Reg,0.0,45,RM,0.0,None,0.0,7,BrkSide,112.0,8,7.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,5.0,832.0,1686.0,AllPub,48.0,1929.0,2001.0,2007
16,,1004.0,0.0,0.0,2.0,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,1.0,CBlock,1.0,Typ,480.0,2.0,TA,Fin,TA,Attchd,1970.0,1004.0,0.0,GasA,Ex,1Story,1.0,TA,Lvl,Gtl,11241.0,CulDSac,IR1,0.0,20,RL,180.0,BrkFace,700.0,3,NAmes,0.0,7,6.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,5.0,1004.0,2008.0,AllPub,0.0,1970.0,1970.0,2010
17,,1296.0,0.0,0.0,2.0,Duplex,None,None,0.0,0.0,None,None,0.0,0.0,None,0.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,0.0,Slab,2.0,Typ,516.0,2.0,TA,Unf,TA,CarPort,1967.0,1296.0,0.0,GasA,TA,1Story,2.0,TA,Lvl,Gtl,10791.0,Inside,Reg,0.0,90,RL,0.0,None,500.0,10,Sawyer,0.0,5,4.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,0.0,1296.0,AllPub,0.0,1967.0,1967.0,2006
18,,1114.0,0.0,0.0,3.0,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,0.0,PConc,1.0,Typ,576.0,2.0,TA,Unf,TA,Detchd,2004.0,1114.0,1.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,13695.0,Inside,Reg,0.0,20,RL,0.0,None,0.0,6,SawyerW,102.0,5,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1114.0,2228.0,AllPub,0.0,2004.0,2004.0,2008
19,,1339.0,0.0,0.0,3.0,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,Plywood,0.0,CBlock,1.0,Min1,294.0,1.0,TA,Unf,TA,Attchd,1958.0,1339.0,0.0,GasA,TA,1Story,1.0,TA,Lvl,Gtl,7560.0,Inside,Reg,0.0,20,RL,0.0,None,0.0,5,NAmes,0.0,6,5.0,Y,0.0,CompShg,Hip,Abnorml,COD,0.0,Pave,6.0,1029.0,2368.0,AllPub,0.0,1958.0,1965.0,2009
20,,1158.0,1218.0,0.0,4.0,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,3.0,Typ,853.0,3.0,TA,RFn,TA,BuiltIn,2005.0,2376.0,1.0,GasA,Ex,2Story,1.0,Gd,Lvl,Gtl,14215.0,Corner,IR1,0.0,60,RL,380.0,BrkFace,0.0,11,NridgHt,154.0,5,8.0,Y,0.0,CompShg,Gable,Partial,New,0.0,Pave,9.0,1158.0,3534.0,AllPub,240.0,2005.0,2006.0,2006
21,,1108.0,0.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,Norm,FuseF,205.0,TA,TA,Wd Sdng,Wd Sdng,1.0,PConc,1.0,Typ,280.0,1.0,TA,Unf,TA,Attchd,1930.0,1108.0,0.0,GasA,Ex,1.5Unf,1.0,Gd,Bnk,Gtl,7449.0,Inside,Reg,0.0,45,RM,0.0,None,0.0,6,IDOTRR,0.0,7,7.0,N,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,637.0,1745.0,AllPub,0.0,1930.0,1950.0,2007
22,,1795.0,0.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,2.0,Typ,534.0,2.0,TA,RFn,TA,Attchd,2002.0,1795.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,9742.0,Inside,Reg,0.0,20,RL,281.0,BrkFace,0.0,9,CollgCr,159.0,5,8.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,7.0,1777.0,3572.0,AllPub,171.0,2002.0,2002.0,2008
23,,1060.0,0.0,0.0,3.0,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,CemntBd,CmentBd,1.0,PConc,1.0,Typ,572.0,2.0,TA,Unf,TA,Attchd,1976.0,1060.0,0.0,GasA,TA,1Story,1.0,TA,Lvl,Gtl,4224.0,Inside,Reg,0.0,120,RM,0.0,None,0.0,6,MeadowV,110.0,7,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1040.0,2100.0,AllPub,100.0,1976.0,1976.0,2007
24,,1060.0,0.0,0.0,3.0,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,Plywood,Plywood,1.0,CBlock,1.0,Typ,270.0,1.0,TA,Unf,TA,Attchd,1968.0,1060.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,8246.0,Inside,IR1,0.0,20,RL,0.0,None,0.0,5,Sawyer,90.0,8,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1060.0,2120.0,AllPub,406.0,1968.0,2001.0,2010
25,,1600.0,0.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,2.0,Typ,890.0,3.0,TA,RFn,TA,Attchd,2007.0,1600.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,14230.0,Corner,Reg,0.0,20,RL,640.0,Stone,0.0,7,NridgHt,56.0,5,8.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,7.0,1566.0,3166.0,AllPub,0.0,2007.0,2007.0,2009
26,,900.0,0.0,0.0,3.0,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,0.0,CBlock,1.0,Typ,576.0,2.0,TA,Unf,TA,Detchd,2005.0,900.0,0.0,GasA,TA,1Story,1.0,Gd,Lvl,Gtl,7200.0,Corner,Reg,0.0,20,RL,0.0,None,0.0,5,NAmes,32.0,7,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,5.0,900.0,1800.0,AllPub,222.0,1951.0,2000.0,2010
27,,1704.0,0.0,0.0,3.0,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,2.0,Typ,772.0,3.0,TA,RFn,TA,Attchd,2008.0,1704.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,11478.0,Inside,Reg,0.0,20,RL,200.0,Stone,0.0,5,NridgHt,50.0,5,8.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,7.0,1704.0,3408.0,AllPub,0.0,2007.0,2008.0,2010
28,,1600.0,0.0,0.0,2.0,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,2.0,CBlock,1.0,Typ,319.0,1.0,TA,RFn,TA,Attchd,1957.0,1600.0,0.0,GasA,TA,1Story,1.0,TA,Lvl,Gtl,16321.0,CulDSac,IR1,0.0,20,RL,0.0,None,0.0,12,NAmes,258.0,6,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1484.0,3084.0,AllPub,288.0,1957.0,1997.0,2006
29,,520.0,0.0,0.0,1.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,RRNn,SBrkr,87.0,TA,TA,MetalSd,MetalSd,0.0,BrkTil,1.0,Typ,240.0,1.0,TA,Unf,Fa,Detchd,1920.0,520.0,0.0,GasA,Fa,1Story,1.0,Fa,Lvl,Gtl,6324.0,Inside,IR1,0.0,30,RM,0.0,None,0.0,5,BrkSide,0.0,6,4.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,4.0,520.0,1040.0,AllPub,49.0,1927.0,1950.0,2008
30,,649.0,668.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,649.0,N,Feedr,Norm,SBrkr,172.0,Fa,TA,BrkFace,BrkFace,0.0,BrkTil,1.0,Typ,250.0,1.0,Fa,Unf,TA,Detchd,1920.0,1317.0,0.0,GasA,TA,2Story,1.0,TA,Lvl,Gtl,8500.0,Inside,Reg,0.0,70,C (all),0.0,None,0.0,7,IDOTRR,54.0,4,4.0,N,0.0,CompShg,Gambrel,Normal,WD,0.0,Pave,6.0,649.0,1966.0,AllPub,0.0,1920.0,1950.0,2008
31,,1228.0,0.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1228.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,0.0,CBlock,1.0,Typ,271.0,1.0,TA,Unf,TA,Attchd,1966.0,1228.0,1.0,GasA,Gd,1Story,1.0,Gd,Lvl,Gtl,8544.0,CulDSac,IR1,0.0,20,RL,0.0,None,0.0,6,Sawyer,65.0,6,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1228.0,2456.0,AllPub,0.0,1966.0,2006.0,2008
32,,1234.0,0.0,0.0,3.0,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1234.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,0.0,PConc,2.0,Typ,484.0,2.0,TA,RFn,TA,Attchd,2007.0,1234.0,0.0,GasA,Ex,1Story,1.0,Gd,Lvl,Gtl,11049.0,Corner,Reg,0.0,20,RL,0.0,None,0.0,1,CollgCr,30.0,5,8.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,7.0,1234.0,2468.0,AllPub,0.0,2007.0,2007.0,2008
33,,1700.0,0.0,0.0,4.0,1Fam,TA,No,1018.0,0.0,Rec,Unf,0.0,1.0,TA,380.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,BrkFace,1.0,CBlock,1.0,Typ,447.0,2.0,TA,RFn,TA,Attchd,1959.0,1700.0,1.0,GasA,Gd,1Story,1.0,Gd,Lvl,Gtl,10552.0,Inside,IR1,0.0,20,RL,0.0,None,0.0,4,NAmes,38.0,5,5.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,6.0,1398.0,3098.0,AllPub,0.0,1959.0,1959.0,2010
34,,1561.0,0.0,0.0,2.0,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1.0,0.0,Ex,408.0,Y,Norm,Norm,SBrkr,0.0,TA,Ex,MetalSd,MetalSd,1.0,PConc,2.0,Typ,556.0,2.0,TA,Fin,TA,Attchd,2005.0,1561.0,0.0,GasA,Ex,1Story,1.0,Ex,Lvl,Gtl,7313.0,Inside,Reg,0.0,120,RL,246.0,BrkFace,0.0,8,NridgHt,47.0,5,9.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,6.0,1561.0,3122.0,AllPub,203.0,2005.0,2005.0,2007
35,,1132.0,1320.0,0.0,4.0,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1117.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,1.0,PConc,3.0,Typ,691.0,3.0,TA,Fin,TA,BuiltIn,2004.0,2452.0,1.0,GasA,Ex,2Story,1.0,Gd,Lvl,Gtl,13418.0,Inside,Reg,0.0,60,RL,132.0,Stone,0.0,9,NridgHt,32.0,5,8.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,9.0,1117.0,3569.0,AllPub,113.0,2004.0,2005.0,2006
36,,1097.0,0.0,0.0,3.0,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1097.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,0.0,PConc,1.0,Typ,672.0,2.0,TA,Unf,TA,Attchd,1995.0,1097.0,1.0,GasA,Ex,1Story,1.0,TA,Lvl,Gtl,10859.0,Corner,Reg,0.0,20,RL,0.0,None,0.0,6,CollgCr,64.0,5,5.0,Y,0.0,CompShg,Gable,Normal,WD,0.0,Pave,6.0,1097.0,2194.0,AllPub,392.0,1994.0,1995.0,2009
37,,1297.0,0.0,0.0,3.0,1Fam,TA,No,1213.0,0.0,Rec,Unf,0.0,1.0,TA,84.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,1.0,CBlock,1.0,Typ,498.0,2.0,TA,Fin,TA,Attchd,1954.0,1297.0,0.0,GasA,Gd,1Story,1.0,TA,Lvl,Gtl,8532.0,Inside,Reg,0.0,20,RL,650.0,BrkFace,0.0,10,NAmes,0.0,6,5.0,Y,0.0,CompShg,Hip,Normal,WD,0.0,Pave,5.0,1297.0,2594.0,AllPub,0.0,1954.0,1990.0,2009
38,,1057.0,0.0,0.0,3.0,1Fam,TA,No,731.0,0.0,GLQ,Unf,1.0,0.0,TA,326.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,0.0,CBlock,1.0,Typ,246.0,1.0,TA,Unf,TA,Detchd,1953.0,1057.0,0.0,GasA,TA,1Story,1.0,Gd,Lvl,Gtl,7922.0,Inside,Reg,0.0,20,RL,0.0,None,0.0,1,NAmes,52.0,7,5.0,Y,0.0,CompShg,Gable,Abnorml,WD,0.0,Pave,5.0,1057.0,2114.0,AllPub,0.0,1953.0,2007.0,2010
39,,1152.0,0.0,0.0,2.0,Duplex,None,None,0.0,0.0,None,None,0.0,0.0,None,0.0,N,Norm,Norm,FuseP,0.0,TA,TA,AsbShng,Plywood,0.0,PConc,2.0,Typ,0.0,0.0,,,,,0.0,1152.0,0.0,GasA,TA,1Story,2.0,Fa,Lvl,Gtl,6040.0,Inside,Reg,0.0,90,RL,0.0,None,0.0,6,Edwards,0.0,5,4.0,N,0.0,CompShg,Gable,AdjLand,WD,0.0,Pave,6.0,0.0,1152.0,AllPub,0.0,1955.0,1955.0,2008
40,,1324.0,0.0,0.0,3.0,1Fam,TA,No,643.0,0.0,Rec,Unf,0.0,0.0,TA,445.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,1.0,CBlock,2.0,Typ,440.0,2.0,TA,RFn,TA,Attchd,1965.0,1324.0,0.0,GasA,Ex,1Story,1.0,TA,Lvl,Gtl,8658.0,Inside,Reg,0.0,20,RL,101.0,BrkFace,0.0,12,NAmes,138.0,5,6.0,Y,0.0,CompShg,Gable,Abnorml,WD,0.0,Pave,6.0,1088.0,2412.0,AllPub,0.0,1965.0,1965.0,2006
41,,1328.0,0.0,0.0,2.0,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0.0,1.0,TA,383.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,2.0,CBlock,1.0,Typ,308.0,1.0,TA,RFn,TA,Attchd,1959.0,1328.0,1.0,GasA,Gd,1Story,1.0,TA,Lvl,Gtl,16905.0,Inside,Reg,0.0,20,RL,0.0,None,0.0,7,Timber,104.0,6,5.0,P,0.0,CompShg,Gable,Normal,WD,0.0,Pave,5.0,1350.0,2678.0,AllPub,0.0,1959.0,1959.0,2007
